statement,truth
"Wisconsin’s $3 billion incentive offer to Foxconn is ""the largest gift ever by a state to a foreign company.""",3
"""When Rick Baker heard (racist remarks from another mayoral candidate), he went after Congemi. Rick Kriseman he just looked away. Tolerating bigotry in silence is no virtue; taking it on is.""",3
"""Charlottesville car attacker is anti-Trump Antifa supporter.""",0
"""Virginia police arrest wrong person to cover for Antifa member who ran over protesters.""",0
"Says Jose Felix Diaz supports President Donald Trump’s ""plan to slash Medicare, charge older Americans an age tax and cut coverage for pre-existing conditions.""",2
"""Half of all immigrant households receive benefits from our social welfare system.""",4
"Emails show Democrats, Hillary Clinton and George Soros instigated and orchestrated racial protests in Charlottesville by trying to ""control"" and keep people ""desperate.""",0
"""Dwayne ’The Rock’ (Johnson) Has Officially Filed For The 2020 Presidential Campaign""",1
"""Every one of the financial bad management practices that I inherited, every one of them, have either been eliminated or cut significantly.""",3
"""Violent crimes where a firearm is used have remained static since 2013 in both New York State and Erie County""",2
"On Foxconn deal, ""3,000 jobs cost #WI taxpayers more than $3 billion in tax giveaways. Break it down: more than $1 million in taxpayer dollars per job.""",1
"""There’s no such thing as a lone wolf. ... That was a phrase invented by the last administration to make Americans stupid.""",0
"There are""thousands of Georgia workers that are misclassified as independent contractors,"" who lose benefits, including health care.",4
"""Barron Trump Rushed To The Hospital, Hospital Releases Statement On His Condition""",0
"Says that compared to Rick Baker’s time as mayor, Kriseman ""had wet weather events that he did not experience"" that caused sewage spills. Baker ""went through significant periods of drought during his time as mayor.""",2
"Tornado carries mobile home 130 miles, family inside unharmed.",0
"Says Scott Walker ""has taken money away from internet expansion in our state.""",2
"""It costs us about $33,000 a year (on average nationally) to lock somebody up. In California it costs about $75,000 a year.""",5
"""At the end of 2016, there were 23 percent fewer federal prosecutions than in 2011, so (prosecutors) looked at this scourge (opioid deaths) and they let it go by.""",3
"Last year, Democrats won nearly 50% of the vote, yet they hold only 38% of the seats in the state House and 30% of the seats in the state Senate.",4
"""Bill Clinton gave North Korea $5 billion and two nuclear reactors in 1994, essentially giving them nukes.""",1
"""My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.""",1
"Says President Donald ""Trump orders 13 Obama deep state operatives arrested for treason.""",0
Eighty percent of the school tax bills in the state of Pennsylvania went up over last year.,3
"""We’re spending 18 percent of our GDP on healthcare while the average among industrialized countries is closer to 8 percent.""",4
"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",5
"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",0
"U.S. Sen. John McCain ""was singlehandedly responsible for starting a fire on (the) USS Forrestal aircraft carrier.""",0
The new tax will make soda sold in Chicago among the most expensive in the country.,5
"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",4
"""Kim Jong Un killed in (President Donald) Trump’s overnight black op attack on North Korea.""",0
"""You have almost half the counties in America that have one provider or no provider for insurance"" on the Obamacare exchanges.",2
"Untaxed corporate earnings used to be ""$2.5 trillion ¦ I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",1
"""Undocumented immigrants commit less crimes than the native born.""",4
"""More Texans have jobs today than ever before in the history of our state.""",4
"""Hillary Clinton has third heart attack  -  docs says she ’won’t survive’.""",0
"Says a New York physician and his wife jumped to their deaths because they ""can’t afford"" Obamacare.",1
"Because of the failure to pass a repeal bill, ""Obamacare remains the law of the land ... This means more than 300,000 Georgians below the poverty line will still not have access to the insurance Obamacare promised.""",3
"Says transgender residents make up ""about 1-in-300 people, we’re all over the place, we’re your friends and your neighbors.""",5
"""A witness will testify against Hillary Clinton.""",1
"""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""",1
"Says Dallas Cowboys owner Jerry Jones told players: ""Stand for the Anthem or you’re off team.""",1
"""The number of complaints against police officers has decreased from an average when Mr. (Rick) Baker was mayor from 78 to 14.""",4
"""As Governor, Wolf has already proposed more than $8B in tax increases.""",3
"Says Debbie Wasserman Schultz ""going to mental hospital after what she did overnight desperate to escape arrest.""",0
"Says Scott Walker ""wants state taxpayers to dole out up to $250 million annually in incentives"" to Foxconn ""to lure a manufacturing plant to Wisconsin that he claims will generate $181 million in tax revenue.""",3
"""Corporations have NEVER made as much money as they are making now.""",3
"As written, the (Illinois school funding) bill includes a bailout of Chicago’s broken teacher pension system.",1
"Says Dontre Hamilton ""was shot 14 times by police for resting on a park bench in Milwaukee.""",4
"""Business spirit is the highest it’s ever been, according to polls.""",2
"Says Donald Trump was seen ""looking deliberately over a disabled child’s head, ignoring his outstretched hand.""",0
"California and New York are ""the two biggest polluting states in the country.""",2
"""Barack Obama tweets sick attack on John McCain, says he should have died.""",0
"The Inland Empire is ""the second fastest growing region"" for jobs in California.",5
"""Foxconn is bringing 13,000 high-tech jobs to Wisconsin.""",3
"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",1
